year,month,motiie,kashiya,bunjou
1977,3,53202 ,34631 ,27987 
1977,4,73555 ,38947 ,28915 
1977,5,55695 ,32863 ,26019 
1977,6,53067 ,33782 ,29381 
1977,7,67391 ,37627 ,32080 
1977,8,72666 ,38082 ,31536 
1977,9,49367 ,37248 ,31355 
1977,10,45829 ,37144 ,35240 
1977,11,51925 ,40938 ,33025 
1977,12,58117 ,40968 ,30876 
1978,1,51872 ,32204 ,24013 
1978,2,60589 ,31866 ,23350 
1978,3,74880 ,32408 ,27770 
1978,4,66189 ,38481 ,33062 
1978,5,51629 ,35234 ,25515 
1978,6,91243 ,34513 ,27970 
1978,7,78243 ,39157 ,32321 
1978,8,43177 ,39256 ,30584 
1978,9,36563 ,38021 ,31603 
1978,10,49426 ,40170 ,31579 
1978,11,71221 ,37525 ,27877 
1978,12,57710 ,42042 ,31414 
1979,1,30240 ,29979 ,23652 
1979,2,38252 ,32201 ,25213 
1979,3,63005 ,34358 ,31362 
1979,4,80365 ,41231 ,32666 
1979,5,56184 ,31324 ,27939 
1979,6,77025 ,33888 ,29249 
1979,7,90770 ,34638 ,30699 
1979,8,67116 ,34497 ,29709 
1979,9,54584 ,35007 ,29660 
1979,10,46196 ,36344 ,32687 
1979,11,47752 ,36402 ,27473 
1979,12,52376 ,33332 ,28457 
1980,1,35399 ,27955 ,24387 
1980,2,42131 ,25430 ,24979 
1980,3,64553 ,29040 ,28388 
1980,4,77426 ,27730 ,32378 
1980,5,53118 ,27341 ,24140 
1980,6,57682 ,28343 ,28880 
1980,7,59200 ,25295 ,29711 
1980,8,46130 ,25618 ,28674 
1980,9,42173 ,26530 ,26281 
1980,10,40624 ,25829 ,25851 
1980,11,39331 ,24248 ,22732 
1980,12,44129 ,26045 ,27001 
1981,1,30730 ,16905 ,18379 
1981,2,41145 ,20176 ,23886 
1981,3,50871 ,21905 ,22966 
1981,4,59846 ,28563 ,29117 
1981,5,52537 ,33526 ,30675 
1981,6,55773 ,28230 ,23148 
1981,7,53554 ,22525 ,19195 
1981,8,45851 ,24389 ,21004 
1981,9,42704 ,28147 ,18978 
1981,10,40942 ,27315 ,18058 
1981,11,38143 ,26465 ,20123 
1981,12,45906 ,25662 ,21483 
1982,1,31253 ,18343 ,15083 
1982,2,38964 ,20131 ,18904 
1982,3,51236 ,23593 ,21392 
1982,4,60169 ,25896 ,18266 
1982,5,51492 ,23041 ,17152 
1982,6,57629 ,27499 ,19978 
1982,7,55737 ,28302 ,18930 
1982,8,47136 ,26611 ,20746 
1982,9,46689 ,29469 ,19305 
1982,10,49123 ,30471 ,19286 
1982,11,48696 ,31473 ,16272 
1982,12,46058 ,30619 ,18327 
1983,1,33597 ,25112 ,19844 
1983,2,37086 ,26914 ,18431 
1983,3,41022 ,28281 ,20428 
1983,4,46674 ,34115 ,19618 
1983,5,39447 ,26521 ,15430 
1983,6,48814 ,34849 ,21532 
1983,7,46270 ,32738 ,20583 
1983,8,37676 ,33265 ,22668 
1983,9,36627 ,34822 ,21187 
1983,10,40195 ,36321 ,20335 
1983,11,35437 ,38975 ,20468 
1983,12,35988 ,42582 ,22741 
1984,1,26925 ,27899 ,14658 
1984,2,35938 ,30764 ,17867 
1984,3,40688 ,32084 ,21763 
1984,4,48576 ,37902 ,25503 
1984,5,40525 ,35531 ,19094 
1984,6,48310 ,37874 ,18216 
1984,7,46369 ,40018 ,19148 
1984,8,36321 ,39340 ,21579 
1984,9,37623 ,41495 ,17083 
1984,10,39824 ,44821 ,17692 
1984,11,32951 ,46492 ,18428 
1984,12,35829 ,50088 ,19970 
1985,1,26802 ,34585 ,14815 
1985,2,34874 ,36655 ,18011 
1985,3,45480 ,37038 ,20239 
1985,4,49471 ,44547 ,21413 
1985,5,41519 ,40572 ,16064 
1985,6,47812 ,42807 ,20086 
1985,7,44046 ,43324 ,17758 
1985,8,33338 ,42025 ,17646 
1985,9,36918 ,44125 ,18810 
1985,10,39630 ,51028 ,17572 
1985,11,32193 ,52813 ,19402 
1985,12,32614 ,57523 ,22202 
1986,1,26549 ,40627 ,16347 
